model,threshold,tp,fp,recall,fpr,precision
ratio,inf,0,0,0.0,0.0,
ratio,41.73194394538268,1,0,0.06666666666666667,0.0,1.0
ratio,15.609011072928599,2,0,0.13333333333333333,0.0,1.0
ratio,14.508,3,0,0.2,0.0,1.0
ratio,13.34948882998864,4,0,0.26666666666666666,0.0,1.0
ratio,13.244033412887829,5,0,0.3333333333333333,0.0,1.0
ratio,11.990108701251867,6,0,0.4,0.0,1.0
ratio,11.124574024990533,7,0,0.4666666666666667,0.0,1.0
ratio,10.92123150739704,8,0,0.5333333333333333,0.0,1.0
ratio,10.20157919182536,8,1,0.5333333333333333,0.00510204081632653,0.8888888888888888
ratio,9.361055577768893,8,2,0.5333333333333333,0.01020408163265306,0.8
ratio,8.899659219992428,8,3,0.5333333333333333,0.015306122448979591,0.7272727272727273
ratio,7.898390643742503,8,4,0.5333333333333333,0.02040816326530612,0.6666666666666666
ratio,7.784011220196353,8,5,0.5333333333333333,0.025510204081632654,0.6153846153846154
ratio,7.543202764976959,8,6,0.5333333333333333,0.030612244897959183,0.5714285714285714
ratio,7.224862888482633,8,7,0.5333333333333333,0.03571428571428571,0.5333333333333333
ratio,7.20125,8,8,0.5333333333333333,0.04081632653061224,0.5
ratio,7.020791683326669,8,9,0.5333333333333333,0.04591836734693878,0.47058823529411764
ratio,6.806948541461816,8,10,0.5333333333333333,0.05102040816326531,0.4444444444444444
ratio,6.689576174112257,8,11,0.5333333333333333,0.05612244897959184,0.42105263157894735
ratio,6.67474441499432,8,13,0.5333333333333333,0.0663265306122449,0.38095238095238093
ratio,6.377011494252874,8,14,0.5333333333333333,0.07142857142857142,0.36363636363636365
ratio,6.3049853372434015,8,15,0.5333333333333333,0.07653061224489796,0.34782608695652173
ratio,5.9768888888888885,8,16,0.5333333333333333,0.08163265306122448,0.3333333333333333
ratio,5.9461952344350495,8,17,0.5333333333333333,0.08673469387755102,0.32
ratio,5.525908739365816,8,18,0.5333333333333333,0.09183673469387756,0.3076923076923077
ratio,5.515068493150685,9,18,0.6,0.09183673469387756,0.3333333333333333
ratio,5.418647166361975,9,19,0.6,0.09693877551020408,0.32142857142857145
ratio,5.363957597173145,9,20,0.6,0.10204081632653061,0.3103448275862069
ratio,5.288640595903166,9,21,0.6,0.10714285714285714,0.3
ratio,5.218697829716194,9,22,0.6,0.11224489795918367,0.2903225806451613
ratio,5.187817258883248,9,23,0.6,0.11734693877551021,0.28125
ratio,5.105211406096362,9,24,0.6,0.12244897959183673,0.2727272727272727
ratio,5.10078959591268,9,25,0.6,0.12755102040816327,0.2647058823529412
ratio,5.045346062052506,9,26,0.6,0.1326530612244898,0.2571428571428571
ratio,4.987196765498652,9,27,0.6,0.1377551020408163,0.25
ratio,4.967616645649432,10,27,0.6666666666666666,0.1377551020408163,0.2702702702702703
ratio,4.873170731707317,10,29,0.6666666666666666,0.14795918367346939,0.2564102564102564
ratio,4.800833333333333,10,31,0.6666666666666666,0.15816326530612246,0.24390243902439024
ratio,4.680527788884446,10,32,0.6666666666666666,0.16326530612244897,0.23809523809523808
